Objekt blokace;Adresa internetové stránky;Název aplikace;Identifikátor aplikace;Jedineèný identifikátor platebního úètu;Dùvody zápisu na Seznam;Datum zápisu a zveøejnìní na Seznamu ;Datum výmazu a zveøejnìní na Seznamu
Internetová stránka;1xbet.com;;;;§ 84a odst. 2 písm. a) ZHH;26.07.2017;04.01.2023
Platební úèet;;;;5990242/0800;§ 84b odst. 2 ZHH;26.07.2017;28.04.2021
Internetová stránka;thelotter.com;;;;§ 84a odst. 2 písm. a) ZHH;15.08.2017;
Internetová stránka;webmoneycasino.com;;;;§ 84a odst. 2 písm. a) ZHH;27.09.2017;
Internetová stránka;betworld.com;;;;§ 84a odst. 2 písm. a) ZHH;15.11.2017;
Platební úèet;;;;MT80STBA19116000000001031000591;§ 84b odst. 2 ZHH;15.11.2017;
Internetová stránka;bosscasino.eu;;;;§ 84a odst. 2 písm. a) ZHH;27.11.2017;
Platební úèet;;;;DE38512308000000056972;§ 84b odst. 2 ZHH;27.11.2017;
Internetová stránka;sportingbull.com;;;;§ 84a odst. 2 písm. a) ZHH;16.01.2018;
Platební úèet;;;;CZ42 0800 0000 0000 0251 7492;§ 84b odst. 2 ZHH;16.01.2018;28.04.2021
Internetová stránka;eatsleepbet.com;;;;§ 84a odst. 2 písm. a) ZHH;16.01.2018;
Internetová stránka;1xbet1.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Platební úèet;;;;0000002300703831/2010;§ 84b odst. 2 ZHH;15.02.2018;
Internetová stránka;1xbet2.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet3.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet4.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet5.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet6.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet7.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet9.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet10.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet11.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet12.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet13.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet14.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet15.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet16.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet17.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet18.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet19.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet20.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet21.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet23.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet24.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet25.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet26.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet27.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet28.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet29.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet30.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet31.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet32.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet34.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet35.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet36.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet37.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet38.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet39.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet40.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet41.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet42.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet43.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet45.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet46.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet47.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet48.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet49.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet50.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet51.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet52.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet53.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet54.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet60.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet61.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet62.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet63.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet64.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet65.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet67.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet68.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet69.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet70.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet71.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet72.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet73.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet74.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet75.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet76.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet78.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet79.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet80.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet82.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet84.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet86.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet87.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet90.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet91.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet92.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet94.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet95.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet101.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet102.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet103.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet104.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet105.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet106.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet107.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet108.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet109.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet110.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1-x-bet.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1x-bet.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbetbk6.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1XIIV.XYZ;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;04.01.2023
Internetová stránka;1XHOV.XYZ;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;bk-1x-bet.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbkbet-1.com;;;;§ 84a odst. 2 písm. a) ZHH;15.02.2018;
Internetová stránka;1xbet8.com;;;;§ 84a odst. 2 písm. a) ZHH;09.08.2018;
Internetová stránka;1x-02.com;;;;§ 84a odst. 2 písm. a) ZHH;09.08.2018;
